Name,Type,Description,Website
Operam Ltd,Service Provider,What we do Operam provide a range of specialist products and services to organizations across the built environment in support of their digital transformation. Why we do it To help our customers to achieve their ...,www.operam.co.uk
Ideal Blinds,Service Provider,"Idealblinds.co.uk supply made to measure affordable blinds in Hull & East Yorkshire area. We advice on the best product and fabric for your windows and blinds, to professional supply and fitting, you can rely on ...",www.operam.co.uk
Telos,Service Provider,"Telos provides consulting services to help you manage information, optimise your processes and maximise your investment in digital construction.Use the latest cloud, mobile and reality capture technologies to deliver high quality projects on budget and on ...",www.telos.systems
Digital Inc,Service Provider,"Digitalinc is a BIM & CAD global outsourcing and productivity solutions provider.. We work with Architects, Engineers, Surveyors, Contractors, and Manufacturers to enhance their productivity and workload capabilities and reduce overheads and cost. Our Story... ...",www.digitalinc.net
Nittygritty.net,Service Provider,"Nittygritty  is a technology company, operating across BIM consultancy, IT support and Software – three complementary areas – IT Consultancy and Support Services CAD/Revit/BIM Consultancy, Training and Support Services Software Development, Apps and Tools for ...",https://nittygritty.net
BIM&CO UK,Service Provider,"BIM&CO is part of the Trace group (€15M turnover and 190 employees), a global actor specialising in the development of software for the manufacturing, energy and construction sectors (via TraceParts, Trace Software, Cythelia Energy and ...",https://www.bimandco.com
ISG plc,Service Provider,"Our vision is to become the world’s most dynamic construction services company, delivering places that help people and businesses thrive. Our 2,800 worldwide specialists in fit out, technology, construction and development deliver not just buildings, ...",https://www.isgplc.com
Windzoon Engineering,Service Provider,"Windzoon Engineering is a leading BIM Service provider firm offering high quality Building Information Modeling (BIM) Services, MEP Services, BIM Modelnig in 3D, 4D, 5D, 6D and 7D, MEP 3D Modeling, MEP Coordination, MEP Clash ...",https://www.isgplc.com
Atlas Cloud,Service Provider,"Atlas Cloud designs, builds and manages virtual solutions, connecting workers with any application from anywhere. We specialise in graphic-intense applications delivery for construction clients such as HS2, Arcadis and Kier. As the first UK ISO ...",www.atlascloud.co.uk
Freeform 3D Ltd.,Service Provider,Freeform is an established provider of 4D modelling services. We supply market leading 4D models and 4D BIM implementation planning. In our 7 years of operating we have built a portfolio ranging across the breadth ...,www.freeform3d.co.uk
Fenton Mark Design Services Ltd,Service Provider,MFDS LTD is a family run company providing the construction industry with outstanding levels of service and the highest quality CAD drawings for building envelope design since 1999. We are a technical team of experienced ...,www.mfdsltd.co.uk
Barbour Product Search,Service Provider,"Barbour Product Search is the online building product directory brought to you by the people who created the Barbour Compendium. The site is designed to enable construction industry professionals to specify building products and manufacturers, ...",www.barbourproductsearch.info
BIM Consult,Service Provider,"BIM Consult is originated by the contribution of academic and professional skills and practices from various Architecture, Engineering and Construction backgrounds. Our goal is to support the Collaborative and Integrative Management based on Building and ...",www.bimconsult.org.uk
Fulcro,Service Provider,"We have developed a structured approach to project realisation, concentrating on three key areas: people, process and technology.  Our projects vary in size and complexity and we work across the UK and overseas, providing design ...",www.fulcro.co.uk
XS CAD Limited,Service Provider,"We provide preconstruction planning, building information modelling (BIM) and 3D modelling solutions and services to engineers, retailers, homebuilders, architects and general contractors. By adopting 3D technology, we are able to validate design data before creating ...",www.xscad.com
The CAD Room Ltd,Service Provider,The Cad Room Ltd was founded in 2003 to provide an outsource cad service for consulting engineers and mechanical and electrical contractors for the building services industry. We are one of the UK’s leading cad ...,www.thecadroom.com
FM180 Ltd,Service Provider,FM180 is an experienced FM consultancy that has embraced BIM for the FM environment. We work effectively to deliver the life time advantages of maximising the potential of BIM across the ‘whole life’ cycle of ...,www.fm180.com
